city,city_ibge_code,estimated_population,state
Governador Eugênio Barros,2104602,16882,MA
Alto Parnaíba,2100501,11212,MA
Bacurituba,2101350,5670,MA
Bernardo do Mearim,2101939,6073,MA
Feira Nova do Maranhão,2104073,8484,MA
Santa Filomena do Maranhão,2109759,7826,MA
Graça Aranha,2104701,6261,MA
Jenipapo dos Vieiras,2105476,17040,MA
Lago Verde,2105906,16314,MA
Nina Rodrigues,2107209,14642,MA
Poção de Pedras,2108900,17595,MA
Primeira Cruz,2109403,15431,MA
Santo Amaro do Maranhão,2110278,16034,MA
São José dos Basílios,2111250,7640,MA
Carolina,2102804,24165,MA
Itaipava do Grajaú,2105351,16005,MA
Lagoa Grande do Maranhão,2105963,11464,MA
São Domingos do Azeitão,2110658,7420,MA
Igarapé Grande,2105203,11387,MA
Lago do Junco,2105807,10869,MA
Matões do Norte,2106631,17033,MA
Nova Colinas,2107258,5427,MA
São João do Soter,2111078,18645,MA
São Raimundo do Doca Bezerra,2111631,5131,MA
Brejo de Areia,2102150,9014,MA
Sambaíba,2109700,5679,MA
Tufilândia,2112274,5854,MA
Afonso Cunha,2100105,6578,MA
Parnarama,2107803,35008,MA
Tasso Fragoso,2112001,8582,MA
Jatobá,2105450,10310,MA
Benedito Leite,2101806,5638,MA
Pastos Bons,2108009,19583,MA
São João do Paraíso,2111052,11193,MA
Governador Luiz Rocha,2104628,7841,MA
Matões,2106607,33943,MA
Lagoa do Mato,2105922,11265,MA
Loreto,2106102,12214,MA
Marajá do Sena,2106359,7775,MA
Nova Iorque,2107308,4682,MA
Passagem Franca,2107902,19137,MA
Sucupira do Norte,2111904,10634,MA
Sucupira do Riachão,2111953,5676,MA
São Félix de Balsas,2110807,4562,MA
São Roberto,2111672,6789,MA
