cargo
Analista
Estagiário
Desenvolvedor
Trainee
Assistente
Técnico
Vendedor
Vários cargos
Programador
Gerente
Auxiliar
Atendente
Médico
Engenheiro
Professor
Motorista
Operador
Agente
Consultor
Coordenador
Enfermeiro
Supervisor
Jovem aprendiz
Auxiliar de Servicos Gerais
Caixa
Auxiliar institucional
Contador
Designer
Teleoperador
Especialista
Oficial
Procurador
Advogado
Recepcionista
Porteiro
Estágio
Fiscal
Cozinheiro
Vigia
Arquiteto
Auxiliar de Enfermagem
Escriturario
Assessor
Analista Comercial
Auxiliar de Limpeza
Analista executivo
Fisioterapeuta
Auditor
Auxiliar de loja
Atendente comercial
Ajudante
Promotor
Vigilante
Pedagogo
Operador de Caixa
Operador de Telemarketing
Jornalista
Técnicos de informática
Atendente de caixa
Auxiliar Administrativo
Pedreiro
Tecnico em Enfermagem
Farmacêutico
Técnico de Enfermagem
Controlador
Agente de Fiscalizacao
Condutor
Guia Turístico
Biomédico Bioquímico
Gari
Controlador de Estoque
Recenseador
Auxiliar de Almoxarifado
Nutricionista
Analista de Laboratorio Microbiologia Laboratorial
Fonoaudiologo
Guarda
Servente
Tesoureiro
Agente de atendimento
Sargento
Padeiro
Trabalhador portuário
Monitor
Auxiliar técnico de higienização hospitalar
Educador Social
Assistente de Farmácia
Dentista
Cientista Social
Representante comercial
Consultor de vendas
Repositor
Auxiliar de Escritório
Auxiliar de atendimento
Agente de operações
Auxiliar de produção
Instrutor
Tecnico em Radiologia
Servicos Gerais
Coletor
Administrador
Psicologo
Especialistas
Analista Tributario
Direito
Auditor Fiscal
Comprador
Cadete
Bibliotecário
Auxiliar Comercial
Pintor
Assistente de Informática
Analista de Vendas
Engenheiro Engenharia Química
Agente Executivo
Terapeuta
Estoquista Repositor
Agente de limpeza e conservação
Analista em Recursos Humanos
Pesquisador
Tenente
Analista de Informatica
Profissional de engenharia
Encarregado
Jardineiro
Auxiliar de Nutrição
Coordenador Pedagogico
Mecanico
Perito
Web Designer
Analista de Sistemas
Analista de TI
Piscineiro 
